Symbol,Sector,Subsector
MMM,Industrials,Industrial Conglomerates
ABT,Health Care,Health Care Equipment & Services
ABBV,Health Care,Pharmaceuticals
ACE,Financials,Property & Casualty Insurance
ACN,Information Technology,IT Consulting & Services
ACT,Health Care,Pharmaceuticals
ADBE,Information Technology,Application Software
ADT,Industrials,Diversified Commercial Services
AES,Utilities,Electric Utilities
AET,Health Care,Managed Health Care
AFL,Financials,Life & Health Insurance
AMG,Financials,Asset Management & Custody Banks
A,Health Care,Health Care Equipment & Services
GAS,Utilities,Gas Utilities
APD,Materials,Industrial Gases
ARG,Materials,Industrial Gases
AKAM,Information Technology,Internet Software & Services
AA,Materials,Aluminum
ALXN,Health Care,Biotechnology
ATI,Materials,Diversified Metals & Mining
ALLE,Industrials,Building Products
AGN,Health Care,Pharmaceuticals
ADS,Information Technology,Data Processing & Outsourced Services
ALL,Financials,Property & Casualty Insurance
ALTR,Information Technology,Semiconductors
MO,Consumer Staples,Tobacco
AMZN,Consumer Discretionary,Internet Retail
AEE,Utilities,Multi-Utilities & Unregulated Power
AEP,Utilities,Electric Utilities
AXP,Financials,Consumer Finance
AIG,Financials,Property & Casualty Insurance
AMT,Financials,REITs
AMP,Financials,Diversified Financial Services
ABC,Health Care,Health Care Distribution & Services
AME,Industrials,Electrical Components and Equipment
AMGN,Health Care,Biotechnology
APH,Industrials,Electrical Components & Equipment
APC,Energy,Oil & Gas Exploration & Production
ADI,Information Technology,Semiconductors
AON,Financials,Insurance Brokers
APA,Energy,Oil & Gas Exploration & Production
AIV,Financials,REITs
AAPL,Information Technology,Computer Hardware
AMAT,Information Technology,Semiconductor Equipment
ADM,Consumer Staples,Agricultural Products
AIZ,Financials,Multi-line Insurance
T,Telecommunications Services,Integrated Telecommunications Services
ADSK,Information Technology,Application Software
ADP,Information Technology,Internet Software & Services
AN,Consumer Discretionary,Specialty Stores
AZO,Consumer Discretionary,Specialty Stores
AVGO,Information Technology,Semiconductors
AVB,Financials,REITs
AVY,Materials,Paper Packaging
AVP,Consumer Staples,Personal Products
BHI,Energy,Oil & Gas Equipment & Services
BLL,Materials,Metal & Glass Containers
BAC,Financials,Banks
BK,Financials,Banks
BCR,Health Care,Health Care Equipment & Services
BAX,Health Care,Health Care Equipment & Services
BBT,Financials,Banks
BDX,Health Care,Health Care Equipment & Services
BBBY,Consumer Discretionary,Specialty Stores
BRK.B,Financials,Multi-Sector Holdings
BBY,Consumer Discretionary,Computer & Electronics Retail
BIIB,Health Care,Biotechnology
BLK,Financials,Diversified Financial Services
HRB,Financials,Consumer Finance
BA,Industrials,Aerospace & Defense
BWA,Consumer Discretionary,Auto Parts & Equipment
BXP,Financials,REITs
BSX,Health Care,Health Care Equipment & Services
BMY,Health Care,Health Care Distributors & Services
BRCM,Information Technology,Semiconductors
BF.B,Consumer Staples,Distillers & Vintners
CHRW,Industrials,Air Freight & Logistics
CA,Information Technology,Systems Software
CVC,Consumer Discretionary,Broadcasting & Cable TV
COG,Energy,Oil & Gas Exploration & Production
CAM,Energy,Oil & Gas Equipment & Services
CPB,Consumer Staples,Packaged Foods & Meats
COF,Financials,Consumer Finance
CAH,Health Care,Health Care Distributors & Services
CFN,Health Care,Health Care Equipment & Services
KMX,Consumer Discretionary,Specialty Stores
CCL,Consumer Discretionary,Hotels Resorts & Cruise Lines
CAT,Industrials,Construction & Farm Machinery & Heavy Trucks
CBG,Financials,Real Estate Management & Development
CBS,Consumer Discretionary,Broadcasting & Cable TV
CELG,Health Care,Biotechnology
CNP,Utilities,Multi-Utilities & Unregulated Power
CTL,Telecommunications Services,Integrated Telecommunications Services
CERN,Health Care,Health Care Distributors & Services
CF,Materials,Fertilizers & Agricultural Chemicals
SCHW,Financials,Diversified Financial Services
CHK,Energy,Integrated Oil & Gas
CVX,Energy,Integrated Oil & Gas
CMG,Consumer Discretionary,Restaurants
CB,Financials,Property & Casualty Insurance
CI,Health Care,Managed Health Care
XEC,Energy,Oil & Gas Exploration & Production
CINF,Financials,Property & Casualty Insurance
CTAS,Industrials,Diversified Commercial Services
CSCO,Information Technology,Networking Equipment
C,Financials,Banks
CTXS,Information Technology,Internet Software & Services
CLX,Consumer Staples,Household Products
CME,Financials,Diversified Financial Services
CMS,Utilities,Multi-Utilities & Unregulated Power
COH,Consumer Discretionary,Apparel Accessories & Luxury Goods
KO,Consumer Staples,Soft Drinks
CCE,Consumer Staples,Soft Drinks
CTSH,Information Technology,IT Consulting & Services
CL,Consumer Staples,Household Products
CMCSA,Consumer Discretionary,Broadcasting & Cable TV
CMA,Financials,Banks
CSC,Information Technology,IT Consulting & Services
CAG,Consumer Staples,Packaged Foods & Meats
COP,Energy,Oil & Gas Exploration & Production
CNX,Energy,Coal & Consumable Fuels
ED,Utilities,Multi-Utilities & Unregulated Power
STZ,Consumer Staples,Distillers & Vintners
GLW,Industrials,Construction & Engineering
COST,Consumer Staples,Hypermarkets & Super Centers
CCI,Financials,REITs
CSX,Industrials,Railroads
CMI,Industrials,Industrial Machinery
CVS,Consumer Staples,Drug Retail
DHI,Consumer Discretionary,Construction
DHR,Industrials,Industrial Machinery
DRI,Consumer Discretionary,Restaurants
DVA,Health Care,Health Care Facilities
DE,Industrials,Construction & Farm Machinery & Heavy Trucks
DLPH,Consumer Discretionary,Auto Parts & Equipment
DAL,Industrials,Airlines
DNR,Energy,Oil & Gas Exploration & Production
XRAY,Health Care,Health Care Supplies
DVN,Energy,Oil & Gas Exploration & Production
DO,Energy,Oil & Gas Drilling
DTV,Consumer Discretionary,Broadcasting & Cable TV
DFS,Financials,Consumer Finance
DISCA,Consumer Discretionary,Broadcasting & Cable TV
DISCK,Consumer Discretionary,Broadcasting & Cable TV
DG,Consumer Discretionary,General Merchandise Stores
DLTR,Consumer Discretionary,General Merchandise Stores
D,Utilities,Multi-Utilities & Unregulated Power
DOV,Industrials,Industrial Machinery
DOW,Materials,Diversified Chemicals
DPS,Consumer Staples,Soft Drinks
DTE,Utilities,Multi-Utilities & Unregulated Power
DD,Materials,Diversified Chemicals
DUK,Utilities,Electric Utilities
DNB,Industrials,Data Processing Services
ETFC,Financials,Diversified Financial Services
EMN,Materials,Diversified Chemicals
ETN,Industrials,Industrial Conglomerates
EBAY,Information Technology,Internet Software & Services
ECL,Materials,Specialty Chemicals
EIX,Utilities,Multi-Utilities & Unregulated Power
EW,Health Care,Health Care Equipment & Services
EA,Information Technology,Application Software
EMC,Information Technology,IT Consulting & Services
EMR,Industrials,Industrial Conglomerates
ENDP,Health Care,Pharmaceuticals
ESV,Energy,Oil & Gas Drilling
ETR,Utilities,Electric Utilities
EOG,Energy,Oil & Gas Exploration & Production
EQT,Energy,Oil & Gas Exploration & Production
EFX,Financials,Diversified Financial Services
EQR,Financials,REITs
ESS,Financials,Residential REITs
EL,Consumer Staples,Personal Products
EXC,Utilities,Multi-Utilities & Unregulated Power
EXPE,Consumer Discretionary,Hotels Resorts & Cruise Lines
EXPD,Industrials,Air Freight & Logistics
ESRX,Health Care,Health Care Distributors & Services
XOM,Energy,Integrated Oil & Gas
FFIV,Information Technology,Networking Equipment
FB,Information Technology,Internet Software & Services
FDO,Consumer Discretionary,General Merchandise Stores
FAST,Industrials,Building Products
FDX,Industrials,Air Freight & Logistics
FIS,Information Technology,Internet Software & Services
FITB,Financials,Banks
FSLR,Information Technology,Semiconductors
FE,Utilities,Multi-Utilities & Unregulated Power
FISV,Information Technology,Internet Software & Services
FLIR,Industrials,Aerospace & Defense
FLS,Industrials,Industrial Machinery
FLR,Industrials,Diversified Commercial Services
FMC,Materials,Diversified Chemicals
FTI,Energy,Oil & Gas Equipment & Services
F,Consumer Discretionary,Automobile Manufacturers
FOSL,Consumer Discretionary,Apparel Accessories & Luxury Goods
BEN,Financials,Diversified Financial Services
FCX,Materials,Diversified Metals & Mining
FTR,Telecommunications Services,Integrated Telecommunications Services
GME,Consumer Discretionary,Specialty Stores
GCI,Consumer Discretionary,Publishing
GPS,Consumer Discretionary,Apparel Retail
GRMN,Consumer Discretionary,Consumer Electronics
GD,Industrials,Aerospace & Defense
GE,Industrials,Industrial Conglomerates
GGP,Financials,REITs
GIS,Consumer Staples,Packaged Foods & Meats
GM,Consumer Discretionary,Automobile Manufacturers
GPC,Consumer Discretionary,Specialty Stores
GNW,Financials,Life & Health Insurance
GILD,Health Care,Biotechnology
GS,Financials,Diversified Financial Services
GT,Consumer Discretionary,Tires & Rubber
GOOGL,Information Technology,Internet Software & Services
GOOG,Information Technology,Internet Software & Services
GWW,Industrials,Industrial Materials
HAL,Energy,Oil & Gas Equipment & Services
HOG,Consumer Discretionary,Motorcycle Manufacturers
HAR,Consumer Discretionary,Consumer Electronics
HRS,Information Technology,Telecommunications Equipment
HIG,Financials,Property & Casualty Insurance
HAS,Consumer Discretionary,Leisure Products
HCA,Health Care,Health Care Facilities
HCP,Financials,REITs
HCN,Financials,REITs
HP,Energy,Oil & Gas Drilling
HES,Energy,Integrated Oil & Gas
HPQ,Information Technology,Computer Hardware
HD,Consumer Discretionary,Home Improvement Retail
HON,Industrials,Industrial Conglomerates
HRL,Consumer Staples,Packaged Foods & Meats
HSP,Health Care,Health Care Equipment & Services
HST,Financials,REITs
HCBK,Financials,Banks
HUM,Health Care,Managed Health Care
HBAN,Financials,Banks
ITW,Industrials,Industrial Machinery
IR,Industrials,Industrial Conglomerates
TEG,Utilities,Gas Utilities
INTC,Information Technology,Semiconductors
ICE,Financials,Diversified Financial Services
IBM,Information Technology,IT Consulting & Services
IP,Materials,Paper Products
IPG,Consumer Discretionary,Advertising
IFF,Materials,Specialty Chemicals
INTU,Information Technology,Internet Software & Services
ISRG,Health Care,Health Care Equipment & Services
IVZ,Financials,Diversified Financial Services
IRM,Industrials,Data Processing Services
JEC,Industrials,Industrial Conglomerates
JNJ,Health Care,Health Care Equipment & Services
JCI,Consumer Discretionary,Auto Parts & Equipment
JOY,Industrials,Industrial Machinery
JPM,Financials,Banks
JNPR,Information Technology,Networking Equipment
KSU,Industrials,Railroads
K,Consumer Staples,Packaged Foods & Meats
KEY,Financials,Banks
GMCR,Consumer Staples,Packaged Foods & Meats
KMB,Consumer Staples,Household Products
KIM,Financials,REITs
KMI,Energy,Oil & Gas Refining & Marketing & Transportation
KLAC,Information Technology,Semiconductor Equipment
KSS,Consumer Discretionary,General Merchandise Stores
KRFT,Consumer Staples,Packaged Foods & Meats
KR,Consumer Staples,Food Retail
LB,Consumer Discretionary,Apparel Retail
LLL,Industrials,Industrial Conglomerates
LH,Health Care,Health Care Facilities
LRCX,Information Technology,Semiconductor Equipment
LM,Financials,Diversified Financial Services
LEG,Industrials,Industrial Conglomerates
LEN,Consumer Discretionary,Homebuilding
LVLT,Telecommunications Services,Alternative Carriers
LUK,Financials,Multi-Sector Holdings
LLY,Health Care,Pharmaceuticals
LNC,Financials,Multi-line Insurance
LLTC,Information Technology,Semiconductors
LMT,Industrials,Aerospace & Defense
L,Financials,Multi-Sector Holdings
LO,Consumer Staples,Tobacco
LOW,Consumer Discretionary,Home Improvement Retail
LYB,Materials,Diversified Chemicals
MTB,Financials,Banks
MAC,Financials,Retail REITs
M,Consumer Discretionary,Department Stores
MNK,Health Care,Pharmaceuticals
MRO,Energy,Oil & Gas Exploration & Production
MPC,Energy,Oil & Gas Refining & Marketing & Transportation
MAR,Consumer Discretionary,Hotels Resorts & Cruise Lines
MMC,Financials,Insurance Brokers
MAS,Industrials,Building Products
MA,Information Technology,Internet Software & Services
MAT,Consumer Discretionary,Leisure Products
MKC,Consumer Staples,Packaged Foods & Meats
MCD,Consumer Discretionary,Restaurants
MHFI,Financials,Diversified Financial Services
MCK,Health Care,Health Care Distributors & Services
MJN,Consumer Staples,Packaged Foods & Meats
MWV,Materials,Paper Packaging
MDT,Health Care,Health Care Equipment & Services
MRK,Health Care,Pharmaceuticals
MET,Financials,Life & Health Insurance
KORS,Consumer Discretionary,Apparel Accessories & Luxury Goods
MCHP,Information Technology,Semiconductors
MU,Information Technology,Semiconductors
MSFT,Information Technology,Systems Software
MHK,Consumer Discretionary,Home Furnishings
TAP,Consumer Staples,Brewers
MDLZ,Consumer Staples,Packaged Foods & Meats
MON,Materials,Fertilizers & Agricultural Chemicals
MNST,Consumer Staples,Soft Drinks
MCO,Financials,Diversified Financial Services
MS,Financials,Diversified Financial Services
MOS,Materials,Fertilizers & Agricultural Chemicals
MSI,Information Technology,Telecommunications Equipment
MUR,Energy,Integrated Oil & Gas
MYL,Health Care,Pharmaceuticals
NBR,Energy,Oil & Gas Drilling
NDAQ,Financials,Diversified Financial Services
NOV,Energy,Oil & Gas Equipment & Services
NAVI,Financials,Consumer Finance
NTAP,Information Technology,Internet Software & Services
NFLX,Information Technology,Internet Software & Services
NWL,Consumer Discretionary,Housewares & Specialties
NFX,Energy,Oil & Gas Exploration & Production
NEM,Materials,Gold
NWSA,Consumer Discretionary,Publishing
NEE,Utilities,Multi-Utilities & Unregulated Power
NLSN,Industrials,Research & Consulting Services
NKE,Consumer Discretionary,Apparel Accessories & Luxury Goods
NI,Utilities,Multi-Utilities & Unregulated Power
NE,Energy,Oil & Gas Drilling
NBL,Energy,Oil & Gas Exploration & Production
JWN,Consumer Discretionary,Department Stores
NSC,Industrials,Railroads
NTRS,Financials,Diversified Financial Services
NOC,Industrials,Aerospace & Defense
NU,Utilities,Multi-Utilities & Unregulated Power
NRG,Utilities,Multi-Utilities & Unregulated Power
NUE,Materials,Steel
NVDA,Information Technology,Semiconductors
ORLY,Consumer Discretionary,Specialty Stores
OXY,Energy,Oil & Gas Exploration & Production
OMC,Consumer Discretionary,Advertising
OKE,Energy,Oil & Gas Exploration & Production
ORCL,Information Technology,Application Software
OI,Materials,Metal & Glass Containers
PCG,Utilities,Multi-Utilities & Unregulated Power
PCAR,Industrials,Construction & Farm Machinery & Heavy Trucks
PLL,Industrials,Industrial Conglomerates
PH,Industrials,Industrial Conglomerates
PDCO,Health Care,Health Care Supplies
PAYX,Information Technology,Internet Software & Services
PNR,Industrials,Industrial Conglomerates
PBCT,Financials,Banks
POM,Utilities,Multi-Utilities & Unregulated Power
PEP,Consumer Staples,Soft Drinks
PKI,Health Care,Health Care Equipment & Services
PRGO,Health Care,Pharmaceuticals
PETM,Consumer Discretionary,Specialty Stores
PFE,Health Care,Pharmaceuticals
PM,Consumer Staples,Tobacco
PSX,Energy,Oil & Gas Refining & Marketing & Transportation
PNW,Utilities,Multi-Utilities & Unregulated Power
PXD,Energy,Oil & Gas Exploration & Production
PBI,Industrials,Office Services & Supplies
PCL,Financials,REITs
PNC,Financials,Banks
RL,Consumer Discretionary,Apparel Accessories & Luxury Goods
PPG,Materials,Diversified Chemicals
PPL,Utilities,Multi-Utilities & Unregulated Power
PX,Materials,Industrial Gases
PCP,Industrials,Industrial Conglomerates
PCLN,Consumer Discretionary,Hotels Resorts & Cruise Lines
PFG,Financials,Diversified Financial Services
PG,Consumer Staples,Personal Products
PGR,Financials,Property & Casualty Insurance
PLD,Financials,Diversified Financial Services
PRU,Financials,Diversified Financial Services
PEG,Utilities,Multi-Utilities & Unregulated Power
PSA,Financials,REITs
PHM,Consumer Discretionary,Homebuilding
PVH,Consumer Discretionary,Apparel Accessories & Luxury Goods
QEP,Energy,Oil & Gas Exploration & Production
PWR,Industrials,Industrial Conglomerates
QCOM,Information Technology,Semiconductors
DGX,Health Care,Health Care Facilities
RRC,Energy,Oil & Gas Exploration & Production
RTN,Industrials,Aerospace & Defense
RHT,Information Technology,Systems Software
REGN,Health Care,Biotechnology
RF,Financials,Diversified Financial Services
RSG,Industrials,Industrial Conglomerates
RAI,Consumer Staples,Tobacco
RHI,Industrials,Industrial Conglomerates
ROK,Industrials,Industrial Conglomerates
COL,Industrials,Industrial Conglomerates
ROP,Industrials,Industrial Conglomerates
ROST,Consumer Discretionary,Apparel Retail
RCL,Consumer Discretionary,Hotel Resorts and Cruise Lines
R,Industrials,Industrial Conglomerates
CRM,Information Technology,Internet Software & Services
SNDK,Information Technology,Computer Storage & Peripherals
SCG,Utilities,Multi-Utilities & Unregulated Power
SLB,Energy,Oil & Gas Equipment & Services
SNI,Consumer Discretionary,Broadcasting & Cable TV
STX,Information Technology,Computer Storage & Peripherals
SEE,Materials,Paper Packaging
SRE,Utilities,Multi-Utilities & Unregulated Power
SHW,Materials,Specialty Chemicals
SIAL,Materials,Diversified Chemicals
SPG,Financials,REITs
SJM,Consumer Staples,Packaged Foods & Meats
SNA,Consumer Discretionary,Household Appliances
SO,Utilities,Multi-Utilities & Unregulated Power
LUV,Industrials,Airlines
SWN,Energy,Oil & Gas Exploration & Production
SE,Energy,Oil & Gas Refining & Marketing & Transportation
STJ,Health Care,Health Care Equipment & Services
SWK,Consumer Discretionary,Household Appliances
SPLS,Consumer Discretionary,Specialty Stores
SBUX,Consumer Discretionary,Restaurants
HOT,Consumer Discretionary,Hotels Resorts & Cruise Lines
STT,Financials,Diversified Financial Services
SRCL,Industrials,Industrial Conglomerates
SYK,Health Care,Health Care Equipment & Services
STI,Financials,Banks
SYMC,Information Technology,Application Software
SYY,Consumer Staples,Food Distributors
TROW,Financials,Diversified Financial Services
TGT,Consumer Discretionary,General Merchandise Stores
TEL,Information Technology,Electronic Equipment & Instruments
TE,Utilities,Multi-Utilities & Unregulated Power
THC,Health Care,Health Care Facilities
TDC,Information Technology,Application Software
TSO,Energy,Oil & Gas Refining & Marketing & Transportation
TXN,Information Technology,Semiconductors
TXT,Industrials,Industrial Conglomerates
HSY,Consumer Staples,Packaged Foods & Meats
TRV,Financials,Property & Casualty Insurance
TMO,Health Care,Health Care Equipment & Services
TIF,Consumer Discretionary,Apparel Accessories & Luxury Goods
TWX,Consumer Discretionary,Broadcasting & Cable TV
TWC,Consumer Discretionary,Broadcasting & Cable TV
TJX,Consumer Discretionary,Apparel Retail
TMK,Financials,Life & Health Insurance
TSS,Information Technology,Internet Software & Services
TSCO,Consumer Discretionary,Specialty Retail
RIG,Energy,Oil & Gas Drilling
TRIP,Consumer Discretionary,Internet Retail
FOXA,Consumer Discretionary,Publishing
TSN,Consumer Staples,Packaged Foods & Meats
TYC,Industrials,Industrial Conglomerates
USB,Financials,Banks
UA,Consumer Discretionary,Apparel Accessories & Luxury Goods
UNP,Industrials,Railroads
UNH,Health Care,Managed Health Care
UPS,Industrials,Air Freight & Logistics
MLM,Materials,Construction Materials
URI,Industrials,Trading Companies & Distributors
UTX,Industrials,Industrial Conglomerates
UHS,Health Care,Health Care Facilities
UNM,Financials,Diversified Financial Services
URBN,Consumer Discretionary,Apparel Retail
VFC,Consumer Discretionary,Apparel Accessories & Luxury Goods
VLO,Energy,Oil & Gas Refining & Marketing & Transportation
VAR,Health Care,Health Care Equipment & Services
VTR,Financials,Diversified Financial Services
VRSN,Information Technology,Internet Software & Services
VZ,Telecommunications Services,Integrated Telecommunications Services
VRTX,Health Care,Biotechnology
VIAB,Consumer Discretionary,Broadcasting & Cable TV
V,Information Technology,Internet Software & Services
VNO,Financials,REITs
VMC,Materials,Construction Materials
WMT,Consumer Staples,Hypermarkets & Super Centers
WBA,Consumer Staples,Drug Retail
DIS,Consumer Discretionary,Broadcasting & Cable TV
WM,Industrials,Environmental Services
WAT,Health Care,Health Care Distributors & Services
ANTM,Health Care,Managed Health Care
WFC,Financials,Banks
WDC,Information Technology,Computer Storage & Peripherals
WU,Information Technology,Internet Software & Services
WY,Financials,REITs
WHR,Consumer Discretionary,Household Appliances
WFM,Consumer Staples,Food Retail
WMB,Energy,Oil & Gas Exploration & Production
WIN,Telecommunications Services,Integrated Telecommunications Services
WEC,Utilities,Multi-Utilities & Unregulated Power
WYN,Consumer Discretionary,Hotels Resorts & Cruise Lines
WYNN,Consumer Discretionary,Casinos & Gaming
XEL,Utilities,Multi-Utilities & Unregulated Power
XRX,Information Technology,IT Consulting & Services
XLNX,Information Technology,Semiconductors
XL,Financials,Property & Casualty Insurance
XYL,Industrials,Industrial Conglomerates
YHOO,Information Technology,Internet Software & Services
YUM,Consumer Discretionary,Restaurants
ZMH,Health Care,Health Care Equipment & Services
ZION,Financials,Banks
ZTS,Health Care,Pharmaceuticals
